sequence,image,label,area,perimeter,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,orientation_deg,centroid_x,centroid_y,nuclear_area,nuclear_fraction,nuclear_mean_R,nuclear_mean_G,nuclear_mean_B
12536,B-160-1-01_masks.tif,1,26098,1089.982756,448.6639987,86.52288181,5.18549532,0.981229113,80.42383663,2929.874128,101.9734462,0,0,,,
12537,B-160-1-01_masks.tif,2,13955,903.5979797,373.7951708,54.96484915,6.800622154,0.989129748,81.08347882,2888.780867,146.9481906,2709,0.19412397,220.4939117,213.192688,217.365448
12538,B-160-1-01_masks.tif,3,24851,1226.367532,501.9751887,73.79185394,6.802582696,0.989136048,73.36795304,2808.097058,190.8521991,22290,0.896945797,210.8253937,209.469223,200.2881165
12539,B-160-1-01_masks.tif,4,19557,924.1837662,376.6015068,68.06396689,5.533052568,0.983532369,-84.23713039,4547.368206,164.5057013,405,0.020708698,217.1259308,197.1160431,196.4123383
12540,B-160-1-01_masks.tif,5,21739,1162.710678,431.8354912,67.94888481,6.355299169,0.987543058,73.32047639,2781.593818,238.2111413,15358,0.706472239,209.3965302,211.5535278,194.0318451
12541,B-160-1-01_masks.tif,6,12518,861.6396103,335.3857414,51.48665958,6.51403187,0.988146356,68.47015347,163.2142515,244.063908,11033,0.881370826,198.4188385,198.459259,186.7802124
12542,B-160-1-01_masks.tif,7,12506,730.1837662,292.9568271,55.5708417,5.271772357,0.981844124,80.10164627,4540.236127,232.8108108,5595,0.447385255,198.4470062,199.7504883,162.1092072
12543,B-160-1-01_masks.tif,8,15234,894.4680374,331.75304,62.03165463,5.348124952,0.98236345,68.14534851,144.6136274,285.1484837,11688,0.767231193,199.3382111,199.8892822,186.2357178
12544,B-160-1-01_masks.tif,9,30523,1312.350288,461.1779769,87.60556939,5.264254089,0.981791746,35.93232969,4160.782525,408.7170986,23908,0.783278184,207.1242218,205.4294739,185.3726349
12545,B-160-1-01_masks.tif,10,20096,996.5685425,394.0919848,68.80702919,5.727496005,0.984640091,-9.747304064,3925.943223,417.1405752,10464,0.520700637,214.8889465,214.3404999,190.6852112
12546,B-160-1-01_masks.tif,11,20163,1180.894444,432.9661993,64.10862853,6.753633781,0.988977117,29.04032844,4480.263899,425.7055994,17324,0.85919754,210.6022797,208.9485626,198.6197815
12547,B-160-1-01_masks.tif,12,24992,1409.806133,482.9000489,74.44433116,6.486726946,0.988045748,42.79638043,4339.992077,416.0690621,23687,0.947783291,211.5329437,208.8105774,196.9298706
12548,B-160-1-01_masks.tif,13,27122,1492.291414,534.8409579,77.94645584,6.861645627,0.989323275,45.03507704,4297.576064,453.5613155,16947,0.624843301,204.7081451,207.2700195,189.3008728
12549,B-160-1-01_masks.tif,14,25635,1089.923882,407.7671522,89.3068042,4.565913604,0.975721667,67.22272906,3630.104193,359.5561927,20734,0.808816072,204.2434235,203.9795074,190.8976135
12550,B-160-1-01_masks.tif,15,18296,1129.480231,441.3556295,60.84931007,7.253256102,0.990450457,32.52906217,4416.978301,417.312254,3271,0.178782247,204.6199951,195.7670441,200.5848389
12551,B-160-1-01_masks.tif,16,18910,858.0832611,337.1866881,73.1674287,4.608426101,0.976172977,73.9892398,145.5657853,356.6454257,11247,0.594764675,189.3673859,189.0881195,165.5687714
12552,B-160-1-01_masks.tif,17,12543,605.6984848,234.9329052,70.15234359,3.348896034,0.954376517,81.7039179,1161.318983,349.696803,0,0,,,
12553,B-160-1-01_masks.tif,18,16990,964.9116882,394.268809,57.92084068,6.807028427,0.989150312,80.09136095,425.7178929,373.4123014,0,0,,,
12554,B-160-1-01_masks.tif,19,17377,859.254834,337.8608101,73.91483326,4.570947335,0.975775774,9.057443885,4095.005755,502.8411118,13891,0.799389998,211.2200775,209.2757111,189.3752747
12555,B-160-1-01_masks.tif,20,16060,773.8406204,307.5425077,69.65923586,4.414956666,0.974010517,74.81078258,122.341594,416.2160025,10051,0.625840598,194.169342,194.3955841,166.7295837
12556,B-160-1-01_masks.tif,21,16611,875.3553391,366.1978147,59.03345297,6.203225396,0.986920705,83.82915837,1554.222563,407.2624165,8940,0.53819758,195.3287506,198.4843445,164.0421753
12557,B-160-1-01_masks.tif,22,20730,939.7401154,363.5347504,79.37318475,4.580070103,0.975873371,-12.72351122,3985.471587,551.0925229,9309,0.449059334,212.1711273,210.5278778,182.8068542
12558,B-160-1-01_masks.tif,23,22408,980.4264069,405.7141915,73.51303335,5.51894233,0.983447347,82.1734692,432.1859604,456.6172795,7776,0.347018922,181.3422089,182.6860809,155.5471954
12559,B-160-1-01_masks.tif,24,8728,580.5269119,216.8114664,54.19991137,4.000218098,0.968249356,-12.56078248,4039.138634,549.1019707,7309,0.837419798,211.4661407,207.9348755,185.9803009
12560,B-160-1-01_masks.tif,25,21380,1111.965512,411.3223266,69.26898452,5.938044702,0.985717786,54.62661042,5239.984331,583.1054256,19421,0.908372311,204.8282318,202.5064545,190.4995575
12561,B-160-1-01_masks.tif,26,24853,1096.669048,448.479152,79.47058028,5.643335564,0.984174833,-87.08240662,3648.54082,526.1929345,14163,0.569870841,208.1959381,206.1260376,188.3175201
12562,B-160-1-01_masks.tif,27,22355,1209.965512,455.2190383,74.55780583,6.105585233,0.986496148,55.24922653,5214.204473,631.6125252,14618,0.65390293,210.0228424,214.1803894,196.2547607
12563,B-160-1-01_masks.tif,28,29305,1248.367532,471.1775063,86.26734912,5.461828967,0.98309637,-11.84716931,4987.915066,755.1408292,20312,0.69312404,209.3564911,209.1841278,182.3551636
12564,B-160-1-01_masks.tif,29,18298,1010.124892,371.0118901,74.40130412,4.986631545,0.979686299,19.1235831,5088.263307,706.9368237,15345,0.838616242,210.7478638,210.5335236,196.7380219
12565,B-160-1-01_masks.tif,30,24051,973.7401154,390.0203799,80.97085378,4.816799647,0.978212374,-77.86032863,3718.918839,603.1197871,18580,0.772525051,214.0885925,211.6358948,194.9975281
12566,B-160-1-01_masks.tif,31,15778,884.2253967,331.5146015,63.42085943,5.22721711,0.98153037,18.44651856,5145.745785,714.5441754,14117,0.894726835,210.7416534,207.7865753,195.3804626
12567,B-160-1-01_masks.tif,32,20027,1028.024387,389.1058643,68.48157512,5.681905879,0.984390652,66.54729482,2523.449793,660.8675288,16613,0.829530134,205.596283,206.1660156,191.3102417
12568,B-160-1-01_masks.tif,33,23743,1269.521861,480.7622833,74.28302599,6.472034181,0.98799108,-40.06649119,2239.060102,759.4533547,7513,0.316430106,210.2977448,208.1702423,184.4743805
12569,B-160-1-01_masks.tif,34,29250,1388.651804,515.085432,74.32205002,6.930452427,0.989535339,68.83789506,4395.36465,670.4120684,15745,0.538290598,197.5714264,198.6548157,176.5026398
12570,B-160-1-01_masks.tif,35,14636,1017.722871,366.5838394,53.20737989,6.889717934,0.989410567,-39.32255135,2197.836157,736.8429899,7199,0.491869363,210.244751,209.4246368,184.0500031
12571,B-160-1-01_masks.tif,36,29661,1234.267027,450.4113948,85.40276922,5.273967096,0.981859371,-71.19185608,3729.978996,712.9941337,19330,0.651697515,211.3792572,208.8186798,185.4277344
12572,B-160-1-01_masks.tif,37,16285,814.0416306,364.7379711,57.8057943,6.309712988,0.987361254,88.67282106,4149.421185,680.3975438,0,0,,,
12573,B-160-1-01_masks.tif,38,17844,890.3259018,305.9313421,77.81334518,3.931605066,0.967112487,-81.04689146,4730.863035,709.3620825,10248,0.574310693,212.3029785,210.9445801,191.2676544
12574,B-160-1-01_masks.tif,39,25812,1067.681241,350.2864487,108.8341516,3.218534288,0.950507885,-52.07758137,4797.68166,786.2984271,12966,0.5023245,212.6231689,210.6446838,190.6752319
