image,label,area,perimeter,aspect_ratio,max_diameter,circularity
38407_mask.png,1,1001.0,116.81118318204308,1.1564844314110656,37.656340767525464,0.9218814911971367
38407_mask.png,2,2936.0,201.23759005323592,1.1461376513951733,65.55150646628954,0.9110615112429885
38407_mask.png,3,2009.0,164.61017305526642,1.039149508289365,51.478150704935004,0.9317007772465491
38407_mask.png,4,1678.0,151.53910524340094,1.0879317056933226,48.46648326421054,0.9182319144708826
38407_mask.png,5,1838.0,156.95331880577405,1.0592891900399235,50.11985634456667,0.9375930174060234
38407_mask.png,6,2066.0,168.8528137423857,1.007004086678803,51.78802950489621,0.9105914686623219
38407_mask.png,7,2443.0,183.3380951166243,1.1863248123581054,60.40695324215582,0.9133303753493328
38407_mask.png,8,1738.0,153.78174593052023,1.149253568215783,50.21951811795888,0.9235279881975778
38407_mask.png,9,1961.0,165.4386001800126,1.1570917238792713,53.33854141237835,0.9003549657611845
38407_mask.png,10,2790.0,195.23759005323592,1.0093897754610992,60.207972893961475,0.9197868384866442
38407_mask.png,11,1998.0,166.02438661763952,1.0982917541564097,52.49761899362675,0.9108808654761078
38407_mask.png,12,2395.0,180.5096679918781,1.045760208798297,56.32051136131489,0.9236649138822302
38407_mask.png,13,2408.0,181.68124086713192,1.018305772299772,56.04462507680822,0.9167399799412828
38407_mask.png,14,2429.0,182.26702730475878,1.0815044435426564,57.42821606144492,0.9188003624863569
38407_mask.png,15,1391.0,138.71067811865476,1.2341493614551224,45.69463863518345,0.9084838352124827
38407_mask.png,16,2230.0,174.26702730475878,1.0649991924635949,54.70831746635972,0.9227504829800275
38407_mask.png,17,2005.0,166.85281374238573,1.0869770746078637,53.009433122794285,0.9050179047638608
38407_mask.png,18,2348.0,180.26702730475878,1.0684794304527425,56.089214649520635,0.9079780766215324
38407_mask.png,19,1801.0,157.19595949289334,1.04263221973614,49.040799340956916,0.915884731462188
38407_mask.png,20,1430.0,143.29646455628168,1.2993360850602387,47.70744176750625,0.87513479278795
38407_mask.png,21,2028.0,166.61017305526642,1.1134728954075552,53.25410782277739,0.918067859958751
38407_mask.png,22,2382.0,181.09545442950497,1.0560898716622666,56.32051136131489,0.9127178039924397
38407_mask.png,23,1913.0,160.95331880577405,1.1060413783582392,52.009614495783374,0.9279508241076365
38407_mask.png,24,2242.0,176.5096679918781,1.0920212777766085,57.38466694161429,0.9042915572909763
38407_mask.png,25,2960.0,201.23759005323592,1.053982865440014,63.198101237299845,0.9185088805447021
38407_mask.png,26,1398.0,137.29646455628165,1.0670263817928893,43.93176527297759,0.9319622628902509
38407_mask.png,27,1745.0,153.53910524340094,1.0616675313727388,48.41487374764082,0.9301806148913955
38407_mask.png,28,2021.0,166.8528137423857,1.0772136991537802,52.478567053607705,0.9122399927819268
38407_mask.png,29,2780.0,211.72287142747453,1.8400751504634552,79.40403012442127,0.7793258990844342
38407_mask.png,30,1783.0,156.36753236814712,1.0285489961852716,48.16637831516918,0.9163640477874505
38407_mask.png,31,1901.0,160.61017305526644,1.071732034301963,50.44799302251776,0.9260744040056577
