sequence,image,label,area,perimeter,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,orientation_deg,centroid_x,centroid_y,nuclear_area,nuclear_fraction,nuclear_mean_R,nuclear_mean_G,nuclear_mean_B
35228,R-20-1-10_masks.tif,1,13488,934.9533188,358.4607729,57.97185442,6.183358744,0.986835963,25.9528119,1284.483912,129.6550267,6191,0.459000593,193.4509735,189.0402222,155.3270874
35229,R-20-1-10_masks.tif,2,14392,811.1543289,303.1234906,62.96635963,4.814054558,0.978187242,19.2385936,1332.764522,122.112632,7026,0.488187882,194.7677155,192.8484192,147.7245941
35230,R-20-1-10_masks.tif,3,11483,806.3847763,360.2037782,41.70016326,8.637946475,0.993276251,-3.914114283,1459.9764,175.677262,5044,0.439258034,193.1352081,187.6564178,148.3606262
35231,R-20-1-10_masks.tif,4,14009,864.2670273,325.9544567,58.54288165,5.567789755,0.983738903,33.4322441,1859.389749,122.634949,6691,0.477621529,188.9877472,186.8696747,151.8616028
35232,R-20-1-10_masks.tif,5,6614,444.627417,169.6287301,53.81064502,3.152326645,0.948349967,16.369809,2264.84306,65.58739038,3016,0.456002419,196.2125397,191.5205536,145.3222809
35233,R-20-1-10_masks.tif,6,5796,390.0416306,140.7593707,54.29629941,2.59243028,0.922608183,18.18083284,2316.521567,60.06504486,3983,0.687198068,200.2992706,198.761734,150.7840881
35234,R-20-1-10_masks.tif,7,18808,1165.622366,450.6611518,62.07220493,7.260272972,0.990468995,37.6265687,2715.46661,170.951191,5853,0.311197363,197.921402,196.0919189,148.6471863
35235,R-20-1-10_masks.tif,8,17707,1157.681241,430.7582337,56.97922063,7.559917965,0.991212848,69.48325601,2853.493421,95.34285876,5769,0.325803355,192.6635437,192.5429077,145.933609
35236,R-20-1-10_masks.tif,9,10564,653.5979797,258.6488285,53.79243302,4.808275327,0.978134189,15.84039114,4489.051874,113.4519122,6158,0.582923135,198.8689575,196.4446259,147.5695038
35237,R-20-1-10_masks.tif,10,14819,773.0121933,310.0756133,65.96519677,4.700594078,0.977109047,12.02270924,4543.794183,132.1072272,8023,0.541399555,196.1273804,192.7655487,147.7080841
35238,R-20-1-10_masks.tif,11,5060,389.4558441,141.6531924,48.93616624,2.894652428,0.938431775,-20.83842738,4622.000791,53.71007905,1858,0.367193676,206.4085083,205.2669525,136.9774017
