sequence,image,label,area,perimeter,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,orientation_deg,centroid_x,centroid_y,nuclear_area,nuclear_fraction,nuclear_mean_R,nuclear_mean_G,nuclear_mean_B
26163,R-20-1-10_masks.tif,1,6150,614.8111832,216.6685814,41.30719065,5.245299378,0.98165868,36.20574322,364.2235772,70.26130081,4224,0.686829268,183.4093323,186.5821533,145.7949829
26164,R-20-1-10_masks.tif,2,10785,686.7695526,267.7175096,57.46518083,4.658777816,0.976691349,-13.08167831,5134.224664,106.7952712,5119,0.474640705,196.7683105,191.9425659,124.098259
26165,R-20-1-10_masks.tif,3,3891,407.3553391,132.560737,40.02475621,3.311968631,0.953328442,66.00984024,5365.368029,30.36365973,2320,0.596247751,192.7577515,187.5400848,152.2590485
26166,R-20-1-10_masks.tif,4,9800,738.3675324,266.7312608,49.81605532,5.354323201,0.982404625,36.25120881,3485.538163,112.5733673,6638,0.677346939,187.5816498,189.1125336,145.7414856
26167,R-20-1-10_masks.tif,5,7817,667.0121933,263.748688,41.12046299,6.41404957,0.987771621,-15.27687628,5178.810541,110.4778048,4690,0.599974415,207.3628998,204.6409454,163.3153534
26168,R-20-1-10_masks.tif,6,4434,373.6984848,137.2773429,42.16590711,3.255647804,0.951658361,59.09850915,5307.527064,40.69914299,3507,0.790933694,191.0792694,197.2965546,141.7325287
26169,R-20-1-10_masks.tif,7,8697,672.5685425,248.6075616,51.56892675,4.820879108,0.978249641,-27.24253677,3363.637001,146.9390594,6874,0.79038749,202.1787872,197.3110199,150.0722961
26170,R-20-1-10_masks.tif,8,9393,819.0538239,305.7225691,52.42790703,5.831294561,0.98518612,67.49629581,698.4926009,88.31938678,6835,0.727669541,192.0493011,193.8100891,147.6763763
26171,R-20-1-10_masks.tif,9,11602,878.3259018,335.6262614,53.13469526,6.316518045,0.987388646,16.48282303,4899.940786,247.2034994,5473,0.471729012,185.0526276,189.2146912,150.1319275
26172,R-20-1-10_masks.tif,10,15072,845.6984848,368.3664314,53.9263785,6.830913584,0.989226466,-86.42007966,2597.02362,104.3869427,8507,0.564424098,194.4281158,192.7458496,118.5593033
26173,R-20-1-10_masks.tif,11,8001,692.8700577,273.6023759,39.9854061,6.842555886,0.989263295,-78.63711591,2227.541057,121.7945257,4957,0.619547557,192.6177063,193.1093445,131.558609
26174,R-20-1-10_masks.tif,12,9624,667.9827561,253.1704149,51.27781602,4.937230845,0.979273435,-60.24520395,5341.708333,179.0048836,6843,0.711034913,204.8855743,202.5591125,138.3058624
26175,R-20-1-10_masks.tif,13,11079,866.8528137,306.953727,56.70505845,5.413163048,0.982788393,47.48841628,2550.345248,254.2285405,55,0.004964347,163.7090912,138.4363708,170.2727203
26176,R-20-1-10_masks.tif,14,12663,996.0660172,354.1983869,55.71881782,6.356889841,0.98754933,45.47702144,2514.652847,321.5726131,0,0,,,
26177,R-20-1-10_masks.tif,15,10144,930.8944443,335.1321284,40.09998631,8.357412539,0.992815622,44.88481368,2536.452681,293.5516562,0,0,,,
26178,R-20-1-10_masks.tif,16,16966,1221.421356,447.0240006,49.85367792,8.966720596,0.993761798,43.37284113,5144.912354,409.226335,7835,0.461805965,178.5919647,182.8107147,139.0844879
26179,R-20-1-10_masks.tif,17,8069,626.3259018,218.272957,49.43595343,4.415267469,0.974014224,25.07088426,2672.336473,354.8520263,4555,0.564506135,193.1486206,190.8862762,152.3927612
26180,R-20-1-10_masks.tif,18,11382,829.0538239,329.1840456,49.73028274,6.619388177,0.988522859,-25.79658027,5361.658935,410.0216131,7394,0.649622211,196.2786102,193.0321808,136.5415192
26181,R-20-1-10_masks.tif,19,7357,554.6690476,203.7876904,47.2068338,4.316910795,0.97279988,-64.75338764,865.5152916,330.0428164,5831,0.792578497,198.0296631,195.3054352,143.4594421
26182,R-20-1-10_masks.tif,20,17557,1223.764502,449.7783236,53.40072701,8.422700379,0.992926963,-39.72683556,2741.726206,482.6510793,9937,0.565985077,204.7355347,194.6020966,137.1385803
26183,R-20-1-10_masks.tif,21,3146,385.6984848,150.5470054,27.58607773,5.457354498,0.983068401,-67.52955095,872.9548633,363.4904641,0,0,,,
26184,R-20-1-10_masks.tif,22,13210,991.254834,383.9593457,48.31826226,7.946464293,0.99205028,10.92519188,627.9463285,602.1355034,9541,0.722255867,189.2032318,185.6614685,146.572052
26185,R-20-1-10_masks.tif,23,16960,952.6101731,346.5722283,63.93962643,5.420304241,0.982834111,63.04517025,5125.169575,501.6566038,9680,0.570754717,189.9798584,188.2900848,141.3682861
26186,R-20-1-10_masks.tif,24,7578,606.9116882,231.8329724,44.78496696,5.176580182,0.981163781,-60.18990143,2451.475587,486.5527844,5392,0.711533386,207.2789307,201.5884705,155.3538513
26187,R-20-1-10_masks.tif,25,13204,874.2253967,319.1620086,56.09668805,5.689498251,0.984432614,-22.22713633,2495.807861,603.1866859,8144,0.616782793,203.0722046,192.083374,143.6164093
26188,R-20-1-10_masks.tif,26,14266,882.4680374,343.0805815,58.35402994,5.879295428,0.985428807,-24.05367817,2552.903547,605.8100379,5090,0.356792373,203.5575714,195.0019684,141.2827148
26189,R-20-1-10_masks.tif,27,12412,752.8111832,257.5579218,67.74007976,3.802149668,0.96479335,59.79587558,5098.503867,556.3484531,4606,0.371092491,199.0918427,197.8232727,162.4307404
26190,R-20-1-10_masks.tif,28,6599,521.7989899,202.1059192,44.25088094,4.567274479,0.975736313,-0.922288169,3913.914836,594.1994242,2869,0.434762843,209.8804474,204.6796722,152.9142609
26191,R-20-1-10_masks.tif,29,7091,447.0121933,156.7596574,58.41294079,2.683646043,0.927981053,-44.18090823,236.8925398,545.7773234,5257,0.74136229,197.529953,185.8055878,134.0030365
26192,R-20-1-10_masks.tif,30,3261,376.8700577,146.7849261,33.62750246,4.365026104,0.973404374,-68.89287906,54.09352959,522.8221404,2878,0.882551365,184.2706757,185.2897797,133.905838
26193,R-20-1-10_masks.tif,31,7669,642.4680374,232.7474766,42.80064958,5.437942623,0.982946253,-48.02495652,2255.342548,571.6741427,6207,0.809362368,206.1459656,200.1003723,149.7306213
26194,R-20-1-10_masks.tif,32,6286,476.9705627,190.5945859,44.39855388,4.292810672,0.972489285,0.21052002,3874.117086,600.9129812,5166,0.821826281,204.8685608,200.806427,156.6242676
26195,R-20-1-10_masks.tif,33,7010,538.9116882,193.6763615,46.97665414,4.122821539,0.970138322,-32.17922666,113.5594864,611.7403709,5968,0.851355207,192.5606537,186.3922577,137.9455414
26196,R-20-1-10_masks.tif,34,6240,447.0121933,163.0500068,50.00409175,3.260733295,0.951812847,-49.66722512,270.5357372,582.150641,152,0.024358974,216.0986786,201.953949,188.5197296
26197,R-20-1-10_masks.tif,35,7193,580.2253967,212.9604304,43.68819391,4.874553314,0.978731172,-48.1414338,1572.311414,621.5438621,6569,0.913248992,205.7800293,196.8724365,145.1185913
26198,R-20-1-10_masks.tif,36,17745,966.2842712,426.4258556,55.91863526,7.625827305,0.991364743,0.213118453,2391.395604,765.8876867,11686,0.658551705,197.9449768,192.2898407,141.6886902
26199,R-20-1-10_masks.tif,37,3502,309.6984848,102.6245108,44.89310433,2.285974924,0.899242678,-48.88725558,1515.670188,615.1216448,2437,0.695888064,206.3705444,203.7324524,165.6093597
26200,R-20-1-10_masks.tif,38,5506,459.254834,162.8620644,44.0266695,3.699168397,0.962767435,-50.86314993,2247.753178,629.6443879,4499,0.817108609,209.3316345,199.4429932,139.5270081
26201,R-20-1-10_masks.tif,39,5322,445.254834,159.0052346,44.00804055,3.613095075,0.9609359,-48.96953739,268.2728298,638.7344983,0,0,,,
26202,R-20-1-10_masks.tif,40,12051,877.4558441,382.4245974,47.25842921,8.092198658,0.992335135,-0.090708324,2351.897768,777.9150278,5770,0.47879844,195.6178436,188.6975708,162.4882202
26203,R-20-1-10_masks.tif,41,10883,725.4974747,279.5874463,53.65078769,5.211245879,0.981415913,21.59243556,4381.896352,712.9554351,7813,0.717908665,194.2010803,191.5081329,146.8874969
26204,R-20-1-10_masks.tif,42,6501,608.0832611,229.0279333,37.871394,6.047517905,0.986233761,23.68281348,4344.376557,718.3887094,5008,0.770343024,203.7559967,200.4556732,156.322876
26205,R-20-1-10_masks.tif,43,6336,437.0121933,157.2853632,52.10490202,3.018628903,0.943533815,-49.69164818,300.2760417,668.4333965,3507,0.553503788,197.3686981,189.7482147,121.4134598
26206,R-20-1-10_masks.tif,44,6507,486.0416306,188.5544697,45.39846892,4.15332222,0.970581925,-83.25540454,1757.299063,644.1435377,5410,0.831412325,201.868576,197.765625,149.3816986
26207,R-20-1-10_masks.tif,45,6713,498.0416306,209.0040039,41.99433179,4.976957485,0.979606429,-78.45491176,1789.138984,678.6511247,6356,0.946819604,202.4957581,198.4112701,145.02565
26208,R-20-1-10_masks.tif,46,5245,415.0121933,137.9239534,50.8369595,2.713064565,0.929593305,-51.15600378,1787.038322,750.3485224,4820,0.918970448,202.0970917,195.9788361,144.6014557
26209,R-20-1-10_masks.tif,47,4861,389.5563492,156.3609586,41.04735675,3.809282035,0.96492746,84.13838613,984.7792635,746.0705616,4296,0.883768772,197.7271881,199.0114136,152.5139618
26210,R-20-1-10_masks.tif,48,4163,386.627417,145.5307305,38.96728973,3.73468957,0.963485678,77.48246858,1105.177276,755.8496277,4012,0.963728081,190.0383911,189.8648987,145.8668976
26211,R-20-1-10_masks.tif,49,7922,543.0121933,206.5988553,49.72773102,4.154600482,0.970600298,-69.05008148,1567.791467,769.7779601,7162,0.90406463,206.1794128,200.1510773,148.4368896
