sequence,image,label,area,perimeter,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,orientation_rad,orientation_deg,centroid_y,centroid_x,max_diameter,bbox_area,extent,solidity,equivalent_diameter,nuclear_area,nuclear_fraction,nuclear_mean_R,nuclear_mean_G,nuclear_mean_B
19401,B-160-1-01_masks.tif,1,24445,1040.183766,428.4262695,75.41038044,5.681263866,0.984387096,-0.091910202,-5.266066652,204.6154633,42.12067908,433.3774337,40083,0.609859541,0.862774856,176.420919,15922,0.651339742,199.8378906,197.9870605,185.6854706
19402,B-160-1-01_masks.tif,2,17305,763.2964646,270.5887829,82.52026955,3.279058399,0.952363368,-0.58932542,-33.76585935,109.7875181,1128.967697,274.8235798,38701,0.447146069,0.926094402,148.4365532,12735,0.735914476,197.5195923,198.3384399,170.2933655
19403,B-160-1-01_masks.tif,3,22474,1115.698485,494.5475738,59.0145504,8.380095594,0.992854602,-1.561949016,-89.49308643,28.49968853,3614.688618,494.4461548,29700,0.756700337,0.904240766,169.1590539,4433,0.197250156,201.1136932,204.0085754,137.458374
19404,B-160-1-01_masks.tif,4,23317,843.9411255,344.1050435,88.89230737,3.871032868,0.966057004,0.121451718,6.958670836,154.0451602,4033.580521,332.2228168,34008,0.685632792,0.925204349,172.3024273,16128,0.691684179,192.0991516,189.335434,170.5677643
19405,B-160-1-01_masks.tif,5,19004,735.1126984,275.3004234,93.06684266,2.958093512,0.941126149,-0.17999506,-10.31295729,111.1305515,4116.07209,286.8187581,28119,0.675841957,0.925624665,155.5527059,11120,0.585139971,209.7964935,207.5506287,172.1504517
19406,B-160-1-01_masks.tif,6,23919,1004.769553,416.0547122,75.0547809,5.543347235,0.983593987,-0.07976701,-4.570312993,214.4613487,4178.762239,425.611325,36975,0.646896552,0.895909806,174.5125115,15828,0.66173335,193.6169434,193.3062897,163.8517761
19407,B-160-1-01_masks.tif,7,18653,857.1959595,315.957262,77.93460968,4.05413286,0.969101605,-0.579468456,-33.20109689,114.577119,4779.68048,308.1460693,48896,0.381483148,0.911013431,154.1094975,15102,0.809628478,200.5123138,202.5041656,172.4094086
19408,B-160-1-01_masks.tif,8,24124,1051.23759,384.314778,80.94740306,4.74770979,0.977566315,-0.603834096,-34.59714525,156.0277317,2102.313464,382.4133889,72230,0.333988647,0.906678694,175.2587538,17499,0.725377218,202.3305969,202.3985901,174.3009949
19409,B-160-1-01_masks.tif,9,27279,1428.249783,542.6642537,75.46003358,7.191412831,0.990284697,0.590038008,33.80668758,225.8661974,3362.092049,527.2845532,135160,0.201827464,0.783474065,186.367115,19524,0.715715385,199.8187866,199.04216,184.4696198
19410,B-160-1-01_masks.tif,10,16505,814.3675324,292.9775386,72.56616659,4.037384809,0.968840595,-0.692350329,-39.66875177,112.5639503,3872.383157,299.207286,45126,0.365753668,0.901616956,144.9648878,9858,0.597273553,204.5601501,202.6536865,166.2097778
19411,B-160-1-01_masks.tif,11,9423,571.6984848,224.8550161,60.81204289,3.697540906,0.962734017,0.25258033,14.47178691,87.42035445,4351.684814,210.7723891,18228,0.516951942,0.860547945,109.5341784,3847,0.408256394,186.2110748,188.1458282,178.658432
19412,B-160-1-01_masks.tif,12,28072,1199.012193,489.6684944,75.3668093,6.497137121,0.988084256,0.017685117,1.013282581,289.9483115,2374.352629,516.6546235,44979,0.624113475,0.88265627,189.0565537,16165,0.575840695,194.0796204,192.7934418,173.0827789
19413,B-160-1-01_masks.tif,13,18683,1154.551299,402.507846,61.77810082,6.515380704,0.988151293,0.562959509,32.25520392,204.5314457,3408.464165,434.0702708,88200,0.211825397,0.862637363,154.2333765,13687,0.732591126,201.921463,199.1650543,177.0640717
19414,B-160-1-01_masks.tif,14,24830,1228.693434,448.1210916,78.87379908,5.681494955,0.984388376,-0.850252823,-48.71589826,215.2151027,2167.338099,442.0520331,103090,0.240857503,0.80470573,177.8047747,17487,0.704269029,202.1302185,204.0006866,177.6317291
19415,B-160-1-01_masks.tif,15,22201,991.9827561,387.1592912,74.35931676,5.206600976,0.981382425,1.339500987,76.74775321,190.8711319,538.6970857,401.8818234,44574,0.498070624,0.911932635,168.1284959,15284,0.688437458,185.0880585,185.428421,165.0475006
19416,B-160-1-01_masks.tif,16,24115,885.0121933,341.1164636,92.76716862,3.677124878,0.96231093,-0.069145953,-3.961771266,328.3839519,101.7789343,349.4681674,36296,0.664398281,0.909245155,175.2260586,20732,0.859713871,193.5033722,192.4483337,175.9720306
19417,B-160-1-01_masks.tif,17,31162,1423.906638,509.5303504,81.73113028,6.234226159,0.987051311,0.950703254,54.47128402,318.7710031,3228.117964,520.9078613,135564,0.229869287,0.848661456,199.1900868,23745,0.761985752,192.008255,191.7485809,167.5230103
19418,B-160-1-01_masks.tif,18,32467,1290.936075,453.9623709,95.02443467,4.777322512,0.977846709,-0.737021271,-42.22820826,342.9577725,2176.160378,469.1375065,113400,0.286305115,0.904121415,203.3181455,22303,0.686943666,203.6052551,203.9854279,183.65242
19419,B-160-1-01_masks.tif,19,25881,1156.894444,391.3265831,89.61264654,4.366867827,0.973427108,1.002389036,57.4326612,341.7723813,304.4295043,431.34441,86996,0.297496437,0.863333111,181.5288205,14752,0.569993431,191.6230316,190.9367523,161.1522522
19420,B-160-1-01_masks.tif,20,15144,768.8700577,336.7846474,58.25280648,5.781432136,0.984927528,1.450269066,83.09429664,256.0871632,3858.666072,325.3936078,22791,0.664472818,0.929593027,138.8594241,5564,0.367406233,188.0900421,190.7029114,158.0413361
19421,B-160-1-01_masks.tif,21,23658,1205.823376,453.8101884,69.45282002,6.534078649,0.988219412,0.457189342,26.19501971,453.6906332,1280.062896,458.9041294,88944,0.265987588,0.855438241,173.5577747,18842,0.796432496,191.4194946,190.8025208,174.2283173
